"id","question","sparql","answer"
"2","When was the 620 Park Avenue completed?","select  ?o    {    <http://dbpedia.org/resource/620_Park_Avenue> <http://dbpedia.org/ontology/buildingEndDate>  ?o    }","1924"
"3","When was the 655 Park Avenue completed?","select  ?o    {    <http://dbpedia.org/resource/655_Park_Avenue> <http://dbpedia.org/ontology/buildingEndDate>  ?o    }","1924"
"4","When was the 66 Portland Place completed?","select  ?o    {    <http://dbpedia.org/resource/66_Portland_Place> <http://dbpedia.org/ontology/buildingEndDate>  ?o    }","1934"
"5","When was the 680 N Lake Shore Drive completed?","select  ?o    {    <http://dbpedia.org/resource/680_N_Lake_Shore_Drive> <http://dbpedia.org/ontology/buildingEndDate>  ?o    }","1926"
"6","When was the 69-71 Bondway completed?","select  ?o    {    <http://dbpedia.org/resource/69-71_Bondway> <http://dbpedia.org/ontology/buildingEndDate>  ?o    }","2020 (estimate)"
"7","When was the 7 Rideau Gate completed?","select  ?o    {    <http://dbpedia.org/resource/7_Rideau_Gate> <http://dbpedia.org/ontology/buildingEndDate>  ?o    }","1862"
"8","When was the 720 Park Avenue completed?","select  ?o    {    <http://dbpedia.org/resource/720_Park_Avenue> <http://dbpedia.org/ontology/buildingEndDate>  ?o    }","1928"
"9","When was the 810 Fifth Avenue completed?","select  ?o    {    <http://dbpedia.org/resource/810_Fifth_Avenue> <http://dbpedia.org/ontology/buildingEndDate>  ?o    }","1926"
"10","When was the 91-93 Fifth Avenue completed?","select  ?o    {    <http://dbpedia.org/resource/91-93_Fifth_Avenue> <http://dbpedia.org/ontology/buildingEndDate>  ?o    }","1896"
"11","When was the 980 Madison Avenue completed?","select  ?o    {    <http://dbpedia.org/resource/980_Madison_Avenue> <http://dbpedia.org/ontology/buildingEndDate>  ?o    }","1950"
"12","When was the 9–11 East 16th Street completed?","select  ?o    {    <http://dbpedia.org/resource/9–11_East_16th_Street> <http://dbpedia.org/ontology/buildingEndDate>  ?o    }","1896"
"13","When was the APA Building, Melbourne completed?","select  ?o    {    <http://dbpedia.org/resource/APA_Building,_Melbourne> <http://dbpedia.org/ontology/buildingEndDate>  ?o    }","1889"
"14","When was the Lovells Island Range Lights completed?","select  ?o    {    <http://dbpedia.org/resource/Lovells_Island_Range_Lights> <http://dbpedia.org/ontology/buildingEndDate>  ?o    }","1903"
"15","When was the Lovett Tower completed?","select  ?o    {    <http://dbpedia.org/resource/Lovett_Tower> <http://dbpedia.org/ontology/buildingEndDate>  ?o    }","1973"
"16","When was the Low Flight Strip completed?","select  ?o    {    <http://dbpedia.org/resource/Low_Flight_Strip> <http://dbpedia.org/ontology/buildingEndDate>  ?o    }","1942"
"17","When was the Low Head Lighthouse completed?","select  ?o    {    <http://dbpedia.org/resource/Low_Head_Lighthouse> <http://dbpedia.org/ontology/buildingEndDate>  ?o    }","1833"
"18","When was the Low Isles Light completed?","select  ?o    {    <http://dbpedia.org/resource/Low_Isles_Light> <http://dbpedia.org/ontology/buildingEndDate>  ?o    }","1874"
"19","When was the Low Light of the Hook of Holland completed?","select  ?o    {    <http://dbpedia.org/resource/Low_Light_of_the_Hook_of_Holland> <http://dbpedia.org/ontology/buildingEndDate>  ?o    }","1899"
"20","When was the Low Point Lighthouse completed?","select  ?o    {    <http://dbpedia.org/resource/Low_Point_Lighthouse> <http://dbpedia.org/ontology/buildingEndDate>  ?o    }","1832 (first)"
"21","When was the Lower Barracks completed?","select  ?o    {    <http://dbpedia.org/resource/Lower_Barracks> <http://dbpedia.org/ontology/buildingEndDate>  ?o    }","1796"
"22","When was the Lower Dock Street drill hall, Newport completed?","select  ?o    {    <http://dbpedia.org/resource/Lower_Dock_Street_drill_hall,_Newport> <http://dbpedia.org/ontology/buildingEndDate>  ?o    }","1867"
"23","When was the Lower Hutt Central Fire Station completed?","select  ?o    {    <http://dbpedia.org/resource/Lower_Hutt_Central_Fire_Station> <http://dbpedia.org/ontology/buildingEndDate>  ?o    }","1955"
"24","When was the Lower Huxley Hall completed?","select  ?o    {    <http://dbpedia.org/resource/Lower_Huxley_Hall> <http://dbpedia.org/ontology/buildingEndDate>  ?o    }","15th century"
"25","When was the Lower Tüchersfeld Castle completed?","select  ?o    {    <http://dbpedia.org/resource/Lower_Tüchersfeld_Castle> <http://dbpedia.org/ontology/buildingEndDate>  ?o    }","13th century"
"26","When was the Lowestoft Lighthouse completed?","select  ?o    {    <http://dbpedia.org/resource/Lowestoft_Lighthouse> <http://dbpedia.org/ontology/buildingEndDate>  ?o    }","1676 (third)"
"27","When was the Lowry Air Force Base completed?","select  ?o    {    <http://dbpedia.org/resource/Lowry_Air_Force_Base> <http://dbpedia.org/ontology/buildingEndDate>  ?o    }","1937-1941"
"28","When was the Lowville Masonic Temple completed?","select  ?o    {    <http://dbpedia.org/resource/Lowville_Masonic_Temple> <http://dbpedia.org/ontology/buildingEndDate>  ?o    }","1928"
"29","When was the Loyettes Airfield completed?","select  ?o    {    <http://dbpedia.org/resource/Loyettes_Airfield> <http://dbpedia.org/ontology/buildingEndDate>  ?o    }","1944"
"30","When was the Lualualei VLF transmitter completed?","select  ?o    {    <http://dbpedia.org/resource/Lualualei_VLF_transmitter> <http://dbpedia.org/ontology/buildingEndDate>  ?o    }","1972"
"31","When was the Lubec Channel Light completed?","select  ?o    {    <http://dbpedia.org/resource/Lubec_Channel_Light> <http://dbpedia.org/ontology/buildingEndDate>  ?o    }","1890"
"32","When was the Lubomirski Palace Opole Lubelskie completed?","select  ?o    {    <http://dbpedia.org/resource/Lubomirski_Palace_(Opole_Lubelskie)> <http://dbpedia.org/ontology/buildingEndDate>  ?o    }","1773"
"33","When was the Lubomirski Palace, Warsaw completed?","select  ?o    {    <http://dbpedia.org/resource/Lubomirski_Palace,_Warsaw> <http://dbpedia.org/ontology/buildingEndDate>  ?o    }","Before 1712"
"34","When was the Lucan Bridge completed?","select  ?o    {    <http://dbpedia.org/resource/Lucan_Bridge> <http://dbpedia.org/ontology/buildingEndDate>  ?o    }","1814"
"35","When was the Lucens Castle completed?","select  ?o    {    <http://dbpedia.org/resource/Lucens_Castle> <http://dbpedia.org/ontology/buildingEndDate>  ?o    }","13th century"
"36","When was the Lucera Airfield completed?","select  ?o    {    <http://dbpedia.org/resource/Lucera_Airfield> <http://dbpedia.org/ontology/buildingEndDate>  ?o    }","1943"
"37","When was the Lucky Knot Bridge completed?","select  ?o    {    <http://dbpedia.org/resource/Lucky_Knot_Bridge> <http://dbpedia.org/ontology/buildingEndDate>  ?o    }","October 2016"
"38","When was the Lucky One Mall completed?","select  ?o    {    <http://dbpedia.org/resource/Lucky_One_Mall> <http://dbpedia.org/ontology/buildingEndDate>  ?o    }","2017"
"39","When was the Ludendorff Bridge completed?","select  ?o    {    <http://dbpedia.org/resource/Ludendorff_Bridge> <http://dbpedia.org/ontology/buildingEndDate>  ?o    }","1919"
"40","When was the Ludington Light completed?","select  ?o    {    <http://dbpedia.org/resource/Ludington_Light> <http://dbpedia.org/ontology/buildingEndDate>  ?o    }","1871"
"41","When was the Ludlam's Beach Light completed?","select  ?o    {    <http://dbpedia.org/resource/Ludlam's_Beach_Light> <http://dbpedia.org/ontology/buildingEndDate>  ?o    }","1885"
"42","When was the Ludlow Castle completed?","select  ?o    {    <http://dbpedia.org/resource/Ludlow_Castle> <http://dbpedia.org/ontology/buildingEndDate>  ?o    }","1066–85"
"43","When was the Ludwigsburg Palace completed?","select  ?o    {    <http://dbpedia.org/resource/Ludwigsburg_Palace> <http://dbpedia.org/ontology/buildingEndDate>  ?o    }","1733"
"44","When was the Ludza Castle completed?","select  ?o    {    <http://dbpedia.org/resource/Ludza_Castle> <http://dbpedia.org/ontology/buildingEndDate>  ?o    }","1433"
"45","When was the Lufkin Air Force Station completed?","select  ?o    {    <http://dbpedia.org/resource/Lufkin_Air_Force_Station> <http://dbpedia.org/ontology/buildingEndDate>  ?o    }","1957"
"46","When was the Luganville Airfield completed?","select  ?o    {    <http://dbpedia.org/resource/Luganville_Airfield> <http://dbpedia.org/ontology/buildingEndDate>  ?o    }","1943"
"47","When was the Luganville Seaplane Base completed?","select  ?o    {    <http://dbpedia.org/resource/Luganville_Seaplane_Base> <http://dbpedia.org/ontology/buildingEndDate>  ?o    }","1942"
"48","When was the Lugard Road completed?","select  ?o    {    <http://dbpedia.org/resource/Lugard_Road> <http://dbpedia.org/ontology/buildingEndDate>  ?o    }","March 1921"
"49","When was the Luins Castle completed?","select  ?o    {    <http://dbpedia.org/resource/Luins_Castle> <http://dbpedia.org/ontology/buildingEndDate>  ?o    }","14th century"
"50","When was the Lukang Ai Gate completed?","select  ?o    {    <http://dbpedia.org/resource/Lukang_Ai_Gate> <http://dbpedia.org/ontology/buildingEndDate>  ?o    }","1839"
"51","When was the Lukang Kinmen Hall completed?","select  ?o    {    <http://dbpedia.org/resource/Lukang_Kinmen_Hall> <http://dbpedia.org/ontology/buildingEndDate>  ?o    }","1805"
"52","When was the Lukang Rimao Hang completed?","select  ?o    {    <http://dbpedia.org/resource/Lukang_Rimao_Hang> <http://dbpedia.org/ontology/buildingEndDate>  ?o    }","1784"
"53","When was the Luke Air Force Base completed?","select  ?o    {    <http://dbpedia.org/resource/Luke_Air_Force_Base> <http://dbpedia.org/ontology/buildingEndDate>  ?o    }","(as Luke Field)"
"54","When was the Lululaund completed?","select  ?o    {    <http://dbpedia.org/resource/Lululaund> <http://dbpedia.org/ontology/buildingEndDate>  ?o    }","1894"
"55","When was the Lulworth Camp completed?","select  ?o    {    <http://dbpedia.org/resource/Lulworth_Camp> <http://dbpedia.org/ontology/buildingEndDate>  ?o    }","1918"
"56","When was the Lulworth Ranges completed?","select  ?o    {    <http://dbpedia.org/resource/Lulworth_Ranges> <http://dbpedia.org/ontology/buildingEndDate>  ?o    }","1917"
"57","When was the Luma Tower completed?","select  ?o    {    <http://dbpedia.org/resource/Luma_Tower> <http://dbpedia.org/ontology/buildingEndDate>  ?o    }","1938"
"58","When was the Lumbia Airfield completed?","select  ?o    {    <http://dbpedia.org/resource/Lumbia_Airfield> <http://dbpedia.org/ontology/buildingEndDate>  ?o    }","1930s"
"59","When was the Luna Gardens completed?","select  ?o    {    <http://dbpedia.org/resource/Luna_Gardens> <http://dbpedia.org/ontology/buildingEndDate>  ?o    }","1999"
"60","When was the Luna Leederville completed?","select  ?o    {    <http://dbpedia.org/resource/Luna_Leederville> <http://dbpedia.org/ontology/buildingEndDate>  ?o    }","1927"
"61","When was the Lundbygård completed?","select  ?o    {    <http://dbpedia.org/resource/Lundbygård> <http://dbpedia.org/ontology/buildingEndDate>  ?o    }","1833 (Ny Oremandsgaard)"
"62","When was the Luneta Hotel completed?","select  ?o    {    <http://dbpedia.org/resource/Luneta_Hotel> <http://dbpedia.org/ontology/buildingEndDate>  ?o    }","1919"
"63","When was the Lungholm completed?","select  ?o    {    <http://dbpedia.org/resource/Lungholm> <http://dbpedia.org/ontology/buildingEndDate>  ?o    }","1756"
"64","When was the Lunna Holm completed?","select  ?o    {    <http://dbpedia.org/resource/Lunna_Holm> <http://dbpedia.org/ontology/buildingEndDate>  ?o    }","1985"
"65","When was the Luokou Yellow River Railway Bridge completed?","select  ?o    {    <http://dbpedia.org/resource/Luokou_Yellow_River_Railway_Bridge> <http://dbpedia.org/ontology/buildingEndDate>  ?o    }","November 16, 1912"
"66","When was the Lurie Biomedical Engineering Center completed?","select  ?o    {    <http://dbpedia.org/resource/Lurie_Biomedical_Engineering_Center> <http://dbpedia.org/ontology/buildingEndDate>  ?o    }","2006"
"67","When was the Lusted Road Bridge completed?","select  ?o    {    <http://dbpedia.org/resource/Lusted_Road_Bridge> <http://dbpedia.org/ontology/buildingEndDate>  ?o    }","1894"
"68","When was the Lutry Castle completed?","select  ?o    {    <http://dbpedia.org/resource/Lutry_Castle> <http://dbpedia.org/ontology/buildingEndDate>  ?o    }","16th century"
"69","When was the Luxembourg Palace completed?","select  ?o    {    <http://dbpedia.org/resource/Luxembourg_Palace> <http://dbpedia.org/ontology/buildingEndDate>  ?o    }","1645"
"70","When was the Luzon Building completed?","select  ?o    {    <http://dbpedia.org/resource/Luzon_Building> <http://dbpedia.org/ontology/buildingEndDate>  ?o    }","approx. 8 February 1891"
"71","When was the Lviv Theatre of Opera and Ballet completed?","select  ?o    {    <http://dbpedia.org/resource/Lviv_Theatre_of_Opera_and_Ballet> <http://dbpedia.org/ontology/buildingEndDate>  ?o    }","1900"
"72","When was the Lyle H. Fulton Memorial Bridge completed?","select  ?o    {    <http://dbpedia.org/resource/Lyle_H._Fulton_Memorial_Bridge> <http://dbpedia.org/ontology/buildingEndDate>  ?o    }","March 15, 1971"
"73","When was the Lynde Point Light completed?","select  ?o    {    <http://dbpedia.org/resource/Lynde_Point_Light> <http://dbpedia.org/ontology/buildingEndDate>  ?o    }","1803 (first)"
